date,cpimw,cpimwe,
1/1/2003,176.2,125.3,
2/1/2003,177.8,134.8,
3/1/2003,178.6,141.1,
4/1/2003,177.8,132.2,
5/1/2003,177.7,130.1,
6/1/2003,178.4,138.4,
7/1/2003,178.1,137.6,
8/1/2003,178.8,142.3,
9/1/2003,179.5,143.6,
10/1/2003,179.1,134.3,
11/1/2003,178.9,131.4,
12/1/2003,178.4,129.1,
1/1/2004,179.4,137.7,
2/1/2004,180.2,140.0,
3/1/2004,181.0,140.7,
4/1/2004,181.5,144.4,
5/1/2004,182.9,153.8,
6/1/2004,183.3,158.2,
7/1/2004,183.2,156.1,
8/1/2004,183.3,155.9,
9/1/2004,183.6,153.5,
10/1/2004,184.5,155.8,
11/1/2004,184.8,156.2,
12/1/2004,183.8,151.2,
1/1/2005,184.1,150.8,
2/1/2005,185.2,153.8,
3/1/2005,186.3,158.7,
4/1/2005,187.7,169.1,
5/1/2005,187.4,165.7,
6/1/2005,187.8,170.4,
7/1/2005,188.4,177.9,
8/1/2005,189.7,187.7,
9/1/2005,192.5,207.5,
10/1/2005,192.1,200.6,
11/1/2005,190.3,183.4,
12/1/2005,189.7,180.8,
1/1/2006,190.8,188.7,
2/1/2006,190.7,183.2,
3/1/2006,192.0,187.5,
4/1/2006,193.0,196.5,
5/1/2006,193.6,200.8,
6/1/2006,194.1,204.9,
7/1/2006,194.6,211.3,
8/1/2006,195.1,209.7,
9/1/2006,193.7,189.8,
10/1/2006,192.3,170.6,
11/1/2006,192.8,174.1,
12/1/2006,192.9,178.6,
1/1/2007,193.068,176.615,
2/1/2007,194.458,181.914,
3/1/2007,196.389,192.406,
4/1/2007,197.405,202.423,
5/1/2007,199.194,220.437,
6/1/2007,199.263,221.159,
7/1/2007,198.989,217.608,
8/1/2007,198.551,208.900,
9/1/2007,199.714,212.380,
10/1/2007,199.455,201.972,
11/1/2007,200.762,214.418,
12/1/2007,200.227,209.852,
1/1/2008,201.427,212.642,
2/1/2008,201.896,213.686,
3/1/2008,203.723,224.367,
4/1/2008,205.393,236.112,
5/1/2008,207.168,254.281,
6/1/2008,208.968,271.353,
7/1/2008,210.071,277.788,
8/1/2008,209.351,262.842,
9/1/2008,209.252,257.484,
10/1/2008,206.019,221.927,
11/1/2008,201.737,181.411,
12/1/2008,199.582,165.258,
1/1/2009,200.815,172.220,
2/1/2009,201.453,171.823,
3/1/2009,202.021,171.311,
4/1/2009,202.327,170.433,
5/1/2009,203.195,179.657,
6/1/2009,205.350,200.921,
7/1/2009,204.814,193.888,
8/1/2009,205.632,197.898,
9/1/2009,205.601,192.324,
10/1/2009,205.706,189.146,
11/1/2009,206.247,196.306,
12/1/2009,205.613,193.179,
1/1/2010,206.564,203.016,
2/1/2010,206.563,197.774,
3/1/2010,207.359,203.507,
4/1/2010,207.777,205.939,
5/1/2010,207.987,206.842,
6/1/2010,207.886,207.908,
7/1/2010,208.211,210.620,
8/1/2010,208.639,209.539,
9/1/2010,208.788,208.765,
10/1/2010,208.689,205.007,
11/1/2010,208.816,206.642,
12/1/2010,209.270,212.222,
1/1/2011,210.388,217.597,
2/1/2011,211.090,220.209,
3/1/2011,212.954,234.516,
4/1/2011,214.535,247.582,
5/1/2011,215.899,257.011,
6/1/2011,215.954,252.851,
