date,ndue_sa,nde_sa,ndue_nsa,nde_nsa
1/1/1976,9828,267218,12664,255563
2/1/1976,9783,267097,12710,256959
3/1/1976,9753,267140,12491,259493
4/1/1976,9878,267684,10008,264741
5/1/1976,10104,268494,8719,271194
6/1/1976,10403,269449,11999,278172
7/1/1976,10732,270362,9815,282269
8/1/1976,11033,271076,9978,281491
9/1/1976,11281,271601,8886,273339
10/1/1976,11514,271931,8285,275566
11/1/1976,11779,272134,10232,269684
12/1/1976,12048,272346,12091,266760
1/1/1977,12289,272709,14932,261760
2/1/1977,12492,273239,15456,263748
3/1/1977,12659,273788,16130,266144
4/1/1977,12789,274287,13020,271596
5/1/1977,12899,274723,10934,277689
6/1/1977,13004,275129,14823,284738
7/1/1977,13065,275586,11943,286184
8/1/1977,13085,276191,12356,285195
9/1/1977,13076,276968,10570,279452
10/1/1977,13016,277800,10127,281250
11/1/1977,12915,278562,10926,276674
12/1/1977,12804,279161,12360,273619
1/1/1978,12656,279665,16124,269620
2/1/1978,12474,280185,15406,270319
3/1/1978,12290,280809,15000,272606
4/1/1978,12124,281517,12947,278542
5/1/1978,11991,282218,10143,284824
6/1/1978,11907,282813,13287,293148
7/1/1978,11973,283212,11483,293923
8/1/1978,12154,283442,10950,293279
9/1/1978,12349,283640,9906,285625
10/1/1978,12500,284029,8875,287463
11/1/1978,12583,284651,11245,281677
12/1/1978,12657,285337,13493,279221
1/1/1979,12754,285896,14520,276129
2/1/1979,12810,286280,15642,277872
3/1/1979,12783,286544,15269,280053
4/1/1979,12692,286760,14260,282226
5/1/1979,12553,287037,11953,288474
6/1/1979,12402,287383,13193,296538
7/1/1979,12246,287806,10856,300119
8/1/1979,12156,288222,11252,297862
9/1/1979,12211,288500,9894,291304
10/1/1979,12344,288585,8815,291682
11/1/1979,12473,288553,11007,285347
12/1/1979,12534,288513,12330,283434
1/1/1980,12585,288457,15842,277749
2/1/1980,12780,288334,15534,279521
3/1/1980,13216,288106,15323,280924
4/1/1980,13880,287790,14731,284651
5/1/1980,14666,287450,13478,289349
6/1/1980,15407,287233,17020,296264
7/1/1980,15921,287210,15760,298584
8/1/1980,16120,287418,15306,297094
9/1/1980,16038,287861,13231,290185
10/1/1980,15834,288416,12065,292063
11/1/1980,15646,289034,13515,286720
12/1/1980,15535,289776,15036,283765
1/1/1981,15506,290588,18824,280432
