date,salestax,mvtax,indinctax,corptax,totaltax
7/1/2003,25429150,5463206,21472896,49082,92538461
8/1/2003,27534599,5798023,14031688,43310,73573070
9/1/2003,30228019,5552093,10084455,30999,58957852
10/1/2003,33682747,5758025,21619556,3087369,76192389
11/1/2003,24548176,4390513,12806344,92426,55997164
12/1/2003,30593682,4711223,5433928,5230389,58542173
1/1/2004,30231777,5454849,27356842,2141191,80074661
2/1/2004,28787426,4247873,18550789,3577748,71191144
3/1/2004,25674337,5446180,3387303,8943535,62387779
4/1/2004,28499947,5753844,61972429,6901619,122311399
5/1/2004,22961033,5942204,5521119,2453632,51650190
6/1/2004,30612817,5991725,10655174,7705782,119848020
7/1/2004,33012555,5589302,16629252,46247,65669723
8/1/2004,36911020,5326054,22233867,34601,83642592
9/1/2004,27731410,6299245,10741640,715154,54595984
10/1/2004,31595099,5563562,14646626,6595058,73006077
11/1/2004,34466204,4717728,22353357,2295101,84356515
12/1/2004,23217417,4717456,6202224,7870881,78409392
1/1/2005,42994851,5180431,34394854,3854877,116903821
2/1/2005,30448497,3900122,15549314,2609979,62673392
3/1/2005,25293434,5232697,6273728,7319151,58773541
4/1/2005,26102362,5567985,57254818,17442422,115487620
5/1/2005,34967427,5527312,21575020,3443597,85112084
6/1/2005,32076657,5864897,11800103,10442821,118359854
7/1/2005,24897233,5665126,16869326,103346,63295509
8/1/2005,40641317,6488054,24453729,199638,90153308
9/1/2005,31107326,5373922,12601569,6870232,99549978
10/1/2005,38047378,4924718,23121024,14519315,99007684
11/1/2005,33802537,3985466,18578496,2436800,83182643
12/1/2005,24434915,4225295,6676673,15106947,67960571
1/1/2006,46338731,4640387,43978459,7753731,125209856
2/1/2006,34466771,3819183,10591310,2993656,75275187
3/1/2006,26051651,5167139,4719678,12200715,63837581
4/1/2006,27209960,5296559,69818384,23925581,138893973
5/1/2006,37978873,6124180,26559775,3856438,88617240
6/1/2006,29721061,5616532,14510532,21823187,98513823
7/1/2006,47105695,5895409,36389491,444642,97980153
8/1/2006,35771231,5962424,10508270,20084,66708829
9/1/2006,26021665,5237832,17091314,17454445,76145405
10/1/2006,47770167,4994155,37394866,385232,100615901
11/1/2006,33881966,4579989,8574954,1977981,64837154
12/1/2006,26589991,4392123,5526423,26627884,135798339
1/1/2007,53960032,5202096,51626304,6231941,131536063
2/1/2007,32010321,3993038,14110352,2819109,66895389
3/1/2007,27680932,5529603,4420250,13909372,65829683
4/1/2007,32266569,6228196,98729592,25555671,175925516
5/1/2007,39748138,6520504,12066325,3647401,78154331
6/1/2007,44426406,5860339,18742286,21430962,163492230
7/1/2007,39740478,5475955,38744480,936022,106791637
8/1/2007,40418319,6032558,9550104,307565,84234774
9/1/2007,32016445,4999001,9670646,130622,74796888
10/1/2007,52286536,6130291,27990284,11030704,241005295
11/1/2007,41359087,4509133,7406723,3374738,86630978
12/1/2007,40029058,4487930,9349919,29063956,93384198
1/1/2008,46418372,6347205,47649535,7427359,121756889
2/1/2008,41605884,4788210,12789847,10475057,84529608
3/1/2008,28439398,5297281,5244771,13740246,69889600
4/1/2008,43731411,6390680,107917446,36291486,208545709
5/1/2008,35509622,6212458,8816980,4602139,72386374
6/1/2008,46324176,6230355,21640592,23357803,116903177
7/1/2008,53548258,6111874,33544196,950447,103615256
8/1/2008,44729522,6006383,2771929,672775,70573380
9/1/2008,55472878,6273554,18936339,531456,93889388
10/1/2008,57019989,6166039,54329817,6216404,135526797
11/1/2008,37521235,4022183,8364805,6846572,76415559
12/1/2008,56450900,4675999,10493667,21484126,133804052
1/1/2009,43672961,5029530,61488793,10556834,136737168
2/1/2009,48979688,4287963,24785245,3403120,104652545
3/1/2009,41272447,4259575,12646757,10594716,80861532
4/1/2009,40915493,5211509,100367420,14570682,177151761
5/1/2009,30172622,5386287,30504059,2978644,87858916
6/1/2009,48850908,5819583,16699532,20152463,153321893
7/1/2009,52196545,5209697,46919357,2173959,407860533
8/1/2009,46231940,4055163,4369801,181146,97348424
9/1/2009,40214823,4825387,18890599,113631,84348994
10/1/2009,46378118,4257905,29895835,11300273,124222862
11/1/2009,51997948,3468975,15867194,2369583,92642852
12/1/2009,42314901,4350871,10142210,11450618,87778248
1/1/2010,44850649,3886044,47293147,8704526,110182052
2/1/2010,43873102,3992325,14183870,1729989,76412000
3/1/2010,44769074,4958140,5981515,12544458,88698193
4/1/2010,47318660,5901844,85451448,12448948,162386001
5/1/2010,35788881,5335964,6503106,2787817,78450940
6/1/2010,58318685,5234584,16140252,22069645,125864718
7/1/2010,47527825,5272490,31820718,380147,90977656
8/1/2010,61853228,5901013,21573206,797860,103556743
9/1/2010,58825753,5378058,17127150,14708069,105694978
10/1/2010,56266473,4911697,32123725,7295736,109177773
11/1/2010,71715624,5102000,22230703,1768645,117776315
12/1/2010,47145229,4952283,10759080,36266879,246782455
1/1/2011,81424521,5398566,70345187,5094078,176692867
2/1/2011,52458283,5640705,5454817,4949214,82286160
3/1/2011,50095854,6786735,17478704,11082700,101074333
4/1/2011,50164412,5705882,139525522,30264388,237913369
5/1/2011,72458057,7087721,34897921,4988657,137391980
6/1/2011,63022745,6811351,24280829,28893330,197238749
7/1/2011,62834040,6468097,39475968,293940,411044359
8/1/2011,84265196,11377744,27772883,472365,215773979
9/1/2011,89711942,9566900,17957456,83623,144715405
